profile,mean_error,rmse_error,max_error,mean_action_delta,mean_joint_velocity,success_rate,mean_reward,mean_orientation_error_deg,max_orientation_error_deg,mean_tool_axis_error_deg,max_tool_axis_error_deg
clean,0.0066880361214571495,0.00780322516986581,0.02369115877157645,0.043684172921121346,0.6860871371770848,1.0,4.7757068637212114,15.98978936244904,36.07702824814904,15.194680547896782,35.63559930103126
obs_noise,0.006817531710199697,0.007778432553179686,0.023748476482331058,0.18630601651773335,0.713339936914545,1.0,4.757950560887655,15.83442478276267,36.50463759110212,15.04707293702208,35.52132283944298
action_delay,0.010544129155431781,0.01208910374703738,0.03842362646665516,0.2430522704462055,0.9766058657091304,1.0,4.553665392398834,15.507274440663526,36.29297748283254,14.833453447467793,35.88837658048236
action_noise,0.0071071380455288375,0.008237234422246128,0.024542969694124013,0.12080399220320871,0.7056085723694656,1.0,4.7652477957407635,15.993808067046237,36.06412772504672,15.218991658937128,35.70070052243958
unreachable,0.007832449253046216,0.008905726923834022,0.023776296708173213,0.039101877355694405,0.7854315121030723,1.0,4.762753217220307,16.977744759225303,36.08333986024801,16.189250660875768,35.639977445843
combined,0.018432660889912196,0.026081485316556574,0.10311684762875258,0.2668054210206729,1.0756170678181292,0.926,4.322906108458837,19.32143056381293,41.283224386103925,18.7121984146699,40.917786823702926
