profile,mean_error,rmse_error,max_error,mean_action_delta,mean_joint_velocity,success_rate,mean_reward,mean_orientation_error_deg,max_orientation_error_deg,mean_tool_axis_error_deg,max_tool_axis_error_deg
clean,0.006467674317827691,0.007369748683516787,0.02365972194514411,0.03770715348580448,0.6800393522382178,1.0,4.77753409910202,16.443267361481094,38.527858157801994,15.5538586659622,37.964498596346864
obs_noise,0.007972473928260927,0.008896962971034393,0.021974045310699918,0.16420433633836684,0.7157120335159484,1.0,4.749831230799357,16.46901036733413,36.044066720543626,15.6516938169226,35.802713841926895
action_delay,0.010373892709782548,0.01236710753847593,0.038837550661752616,0.19914960145222377,0.91456397528873,1.0,4.575152691046397,16.852474487049914,38.7094858960878,16.174014145145847,38.149521226428526
action_noise,0.00791315267890879,0.008777814654173396,0.023868958252628476,0.10887434572703591,0.7022397281559073,1.0,4.758974950154623,16.641063215899997,38.52497027113972,15.667384912509535,37.9625155985603
unreachable,0.007584491615578391,0.008485434937308084,0.023817493263837357,0.03616842711674563,0.7724786520340514,1.0,4.766605394522349,16.818901218928833,38.53457483327167,15.920037970613771,37.969885591814936
combined,0.011711488255533939,0.015697174193421367,0.08344919940467267,0.2546003276190346,0.9658337270956017,0.9846666666666667,4.527802384376526,18.361055972192172,38.11229231986455,17.50822375775736,36.754652936721556
