profile,mean_error,rmse_error,max_error,mean_action_delta,mean_joint_velocity,success_rate,mean_reward,mean_orientation_error_deg,max_orientation_error_deg,mean_tool_axis_error_deg,max_tool_axis_error_deg
clean,0.005725606767870116,0.006364010080063295,0.020571855834777438,0.0649838720570436,0.6293615437393976,1.0,4.781830986022949,16.594069012571065,38.47405846817342,15.978094131343221,37.92041361221945
obs_noise,0.004894590233727514,0.00546491417292257,0.019337455690478324,0.20389799541355236,0.6565958498844979,1.0,4.76844946193695,16.21106352777249,35.962683202337764,15.687330102375137,35.729992986518326
action_delay,0.008100870224859478,0.0094129487757965,0.03283685718481459,0.2471541951226102,0.861442185716939,1.0,4.621299459457397,16.496897083276647,38.733239251556775,15.855661481623688,38.182005058552065
action_noise,0.005090575195511548,0.005697396595757494,0.02065458321372336,0.13701782490290942,0.6420212900246809,1.0,4.780825362205506,15.860060803958133,38.47147875738097,15.213320079161514,37.91866360642863
unreachable,0.007226411217241008,0.008007588779360296,0.021272366993106133,0.0655309628034342,0.7109994347242488,1.0,4.763970486005148,18.11141718731245,38.46949391810478,17.354391254883918,37.91948424344912
combined,0.012421323732392719,0.014344113535162873,0.04766925288057415,0.25676222561022743,0.980807110342018,1.0,4.500584786732992,17.05865149300939,38.103538519802136,16.56567182856966,36.77362162832082
