profile,mean_error,rmse_error,max_error,mean_action_delta,mean_joint_velocity,success_rate,mean_reward,mean_orientation_error_deg,max_orientation_error_deg,mean_tool_axis_error_deg,max_tool_axis_error_deg
clean,0.006596833177081424,0.007579376413665264,0.01972620939194139,0.03846867455809394,0.6827475039124141,1.0,4.783330710411072,14.604681111265723,38.48826216993948,13.842659756411342,37.934620949680195
obs_noise,0.007107069300818521,0.007996135126509875,0.018417725068643403,0.20138836399739876,0.7308916248218134,1.0,4.759072910785675,14.341771600077298,35.97400761538369,13.621991735350894,35.74100912380944
action_delay,0.010533167154508461,0.011758468339243617,0.0333077299446872,0.27444316311626626,0.9798566267282073,1.0,4.5446688747406006,13.322804207936136,38.71542532037725,12.610320523868703,38.16201821719354
action_noise,0.007266068612906831,0.008411876344121827,0.019780219239347217,0.12223170166506281,0.7111886919614752,1.0,4.768551603635152,14.719657476887766,38.485194181542205,13.959703920252835,37.93240961245096
unreachable,0.007925907428966057,0.00898698121419117,0.02176058046670974,0.041611186794064794,0.8041617073214188,1.0,4.762358163515727,16.81447921791641,38.48869733419064,16.049744237699123,37.93971051698545
combined,0.011634335664196228,0.013213784024284175,0.031419664276643854,0.2881845274472762,1.0598450554379448,1.0,4.509808649539948,16.23565492734323,38.10639371833018,15.62623423947145,36.7647516721247
